Tahun.Akademik,Tanggal.Daftar,Program.Studi,Jumlah.Mhs,Jumlah.Grade.A,Jumlah.Grade.B,Jumlah.Grade.C,Jumlah.Grade.D,Kode.Sekolah,Nama.Sekolah,Nama.Kota,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10202765,SMAN 1 DOLOK BATUNANGGAR,SIMALUNGUN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210853,SMAN 2 MEDAN,MEDAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210858,SMAN 5 MEDAN,MEDAN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210858,SMAN 5 MEDAN,MEDAN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210875,SMAN 11 MEDAN,MEDAN,,,,,,
2010/2011,02-06-2010,AKUNTANSI (S-1),1,0,0,1,0,10209413,SMA METHODIST PERBAUNGAN,SERDANG BEDAGAI,,,,,,
2010/2011,02-06-2010,AKUNTANSI (S-1),1,1,0,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,02-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210863,SMAN 16 MEDAN,MEDAN,,,,,,
2010/2011,02-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10259044,SMK PRAYATNA-1,MEDAN,,,,,,
2010/2011,02-07-2010,SISTEM INFORMASI (S-1),2,0,0,2,0,10211316,SMA METHODIST BINJAI,BINJAI,,,,,,
2010/2011,02-07-2010,MANAJEMEN (S-1),1,0,1,0,0,10210731,SMA S HARAPAN 1 MEDAN,MEDAN,,,,,,
2010/2011,02-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,02-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10204241,SMA METHODIST 2,ASAHAN,,,,,,
2010/2011,02-08-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10205374,SMA PANGLIMA POLEM R. PRAPAT,LABUHAN BATU,,,,,,
2010/2011,02-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10211252,SMK (SMEA) S BRIGJEND KATAMSO,MEDAN,,,,,,
2010/2011,02-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10211565,SMAN 1 TEBING TINGGI,TEBING TINGGI,,,,,,
2010/2011,02-08-2010,AKUNTANSI (S-1),1,0,0,0,1,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2010/2011,02-08-2010,SISTEM INFORMASI (S-1),1,1,0,0,0,10403989,SMA KRISTEN KALAM KUDUS,PEKAN BARU,,,,,,
2010/2011,02-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10201330,SMAN 1 GEBANG,LANGKAT,,,,,,
2010/2011,02-09-2010,AKUNTANSI (S-1),1,0,0,1,0,10211305,SMAN 1 BINJAI,BINJAI,,,,,,
2010/2011,02-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,20107331,SMA SULUH,JAKARTA SELATAN,,,,,,
2010/2011,02-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210853,SMAN 2 MEDAN,MEDAN,,,,,,
2010/2011,03-07-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10000002,SMA TRI RATNA,SIBOLGA,,,,,,
2010/2011,03-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210836,SMA S SUTOMO 2,MEDAN,,,,,,
2010/2011,03-08-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210832,SMA S WR SUPRATMAN 2,MEDAN,,,,,,
2010/2011,03-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210720,SMA S BUDI MURNI 1,MEDAN,,,,,,
2010/2011,03-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210720,SMA S BUDI MURNI 1,MEDAN,,,,,,
2010/2011,03-08-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10210750,SMA S HUSNI THAMRIN,MEDAN,,,,,,
2010/2011,03-08-2010,MANAJEMEN (S-1),1,0,0,0,1,10210750,SMA S HUSNI THAMRIN,MEDAN,,,,,,
2010/2011,03-08-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210797,SMA S AN-NIZAM,MEDAN,,,,,,
2010/2011,03-08-2010,TEKNIK INFORMATIKA (S-1),2,0,2,0,0,10211534,SMA IR.H.DJUANDA,TEBING TINGGI,,,,,,
2010/2011,03-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10212217,SMAN 2 P.SIDIMPUAN,PADANG SIDEMPUAN,,,,,,
2010/2011,03-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10258047,SMA PRIMBANA,MEDAN,,,,,,
2010/2011,03-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210863,SMAN 16 MEDAN,MEDAN,,,,,,
2010/2011,03-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210898,SMA S LETJEND. S. PARMAN,MEDAN,,,,,,
2010/2011,03-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10000015,SMK TELKOM SANDHY PUTRA MEDAN,MEDAN,,,,,,
2010/2011,03-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10000015,SMK TELKOM SANDHY PUTRA MEDAN,MEDAN,,,,,,
2010/2011,03-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10204227,SMA DIPONEGORO KISARAN,ASAHAN,,,,,,
2010/2011,04-06-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10202002,SMA KATOLIK 1 KABANJAHE,KARO,,,,,,
2010/2011,04-06-2010,AKUNTANSI (S-1),2,0,2,0,0,10210743,SMA S KRISTEN KALAM KUDUS MEDAN,MEDAN,,,,,,
2010/2011,04-08-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210709,SMA S ERIA,MEDAN,,,,,,
2010/2011,04-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10258023,SMA KATOLIK TRISAKTI,MEDAN,,,,,,
2010/2011,04-08-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10211565,SMAN 1 TEBING TINGGI,TEBING TINGGI,,,,,,
2010/2011,04-08-2010,AKUNTANSI (S-1),1,0,0,0,1,10211565,SMAN 1 TEBING TINGGI,TEBING TINGGI,,,,,,
2010/2011,04-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10257308,SMAS DHARMA PATRA,LANGKAT,,,,,,
2010/2011,04-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10214138,SMAN 1 TANJUNG MORAWA,DELI SERDANG,,,,,,
2010/2011,04-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10211697,SMA RK BINTANG TIMUR P. SIANTAR,PEMATANG SIANTAR,,,,,,
2010/2011,04-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10205417,SMA BHAYANGKARI - 2 R. PRAPAT,LABUHAN BATU,,,,,,
2010/2011,05-06-2010,MANAJEMEN (S-1),1,0,0,0,1,10210760,SMA S BUDAYA,MEDAN,,,,,,
2010/2011,05-06-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10211711,SMA SULTAN AGUNG,PEMATANG SIANTAR,,,,,,
2010/2011,05-06-2010,MANAJEMEN (S-1),1,0,1,0,0,10211291,SMA AHMAD YANI,BINJAI,,,,,,
2010/2011,05-06-2010,SISTEM INFORMASI (S-1),1,1,0,0,0,10205374,SMA PANGLIMA POLEM R. PRAPAT,LABUHAN BATU,,,,,,
2010/2011,05-06-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10205374,SMA PANGLIMA POLEM R. PRAPAT,LABUHAN BATU,,,,,,
2010/2011,05-06-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10205374,SMA PANGLIMA POLEM R. PRAPAT,LABUHAN BATU,,,,,,
2010/2011,05-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10000015,SMK TELKOM SANDHY PUTRA MEDAN,MEDAN,,,,,,
2010/2011,05-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2010/2011,05-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10000021,SMA RA. KARTINI SEI RAMPAH,SERDANG BEDAGAI,,,,,,
2010/2011,05-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210743,SMA S KRISTEN KALAM KUDUS MEDAN,MEDAN,,,,,,
2010/2011,05-07-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,05-07-2010,AKUNTANSI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,05-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2010/2011,05-07-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2010/2011,05-07-2010,AKUNTANSI (S-1),1,0,0,1,0,50101694,SMAN 2 KUTA,BADUNG,,,,,,
2010/2011,05-08-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10000064,SMK S MANDIRI,MEDAN,,,,,,
2010/2011,05-08-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2010/2011,05-08-2010,AKUNTANSI (S-1),1,0,1,0,0,10210714,SMA S HANG KESTURI,MEDAN,,,,,,
2010/2011,05-08-2010,SISTEM INFORMASI (S-1),1,1,0,0,0,10210921,SMA S SAMUEL,MEDAN,,,,,,
2010/2011,05-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210856,SMAN 3 MEDAN,MEDAN,,,,,,
2010/2011,05-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,50103130,SMK REKAYASA DENPASAR,DENPASAR,,,,,,
2010/2011,05-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210861,SMAN 8 MEDAN,MEDAN,,,,,,
2010/2011,06-07-2010,MANAJEMEN (S-1),1,0,1,0,0,10210850,SMA S YOS SUDARSO,MEDAN,,,,,,
2010/2011,06-07-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10000053,SMK/SMA METHODIST TANJUNG MORAWA,DELI SERDANG,,,,,,
2010/2011,06-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10201994,SMAN 1 BERASTAGI,KARO,,,,,,
2010/2011,06-07-2010,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10211533,SMA F.TANDEAN,TEBING TINGGI,,,,,,
2010/2011,06-07-2010,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10211711,SMA SULTAN AGUNG,PEMATANG SIANTAR,,,,,,
2010/2011,06-08-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10202755,SMK S ASSISI,SIMALUNGUN,,,,,,
2010/2011,06-08-2010,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10000047,SMA S METHODIST 3,MEDAN,,,,,,
2010/2011,06-08-2010,SISTEM INFORMASI (S-1),2,0,2,0,0,10201321,SMA SAMANHUDI,LANGKAT,,,,,,
2010/2011,06-08-2010,TEKNIK INFORMATIKA (S-1),2,0,2,0,0,10210836,SMA S SUTOMO 2,MEDAN,,,,,,
2010/2011,06-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10211278,SMK S MEDAN PUTRI 2,MEDAN,,,,,,
2010/2011,06-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210743,SMA S KRISTEN KALAM KUDUS MEDAN,MEDAN,,,,,,
2010/2011,06-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210905,SMA S METHODIST 7,MEDAN,,,,,,
2010/2011,06-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10210860,SMAN 7 MEDAN,MEDAN,,,,,,
2010/2011,06-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10201996,SMA BERSAMA BERASTAGI,KARO,,,,,,
2010/2011,06-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10202001,SMA KATHOLIK 2 KABANJAHE,KARO,,,,,,
2010/2011,06-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10220297,SMAN 2 TARUTUNG,TAPANULI UTARA,,,,,,
2010/2011,06-09-2010,MANAJEMEN (S-1),1,0,0,1,0,10258023,SMA KATOLIK TRISAKTI,MEDAN,,,,,,
2010/2011,06-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10202002,SMA KATOLIK 1 KABANJAHE,KARO,,,,,,
2010/2011,07-06-2010,MANAJEMEN (S-1),1,0,0,0,1,10210850,SMA S YOS SUDARSO,MEDAN,,,,,,
2010/2011,07-06-2010,AKUNTANSI (S-1),1,0,0,1,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,07-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210914,SMA S S KAT BUDI MURNI 1,MEDAN,,,,,,
2010/2011,07-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210714,SMA S HANG KESTURI,MEDAN,,,,,,
2010/2011,07-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210411,MAS PROYEK UNIVA,MEDAN,,,,,,
2010/2011,07-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2010/2011,07-07-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10204053,SMAN 2 KISARAN,ASAHAN,,,,,,
2010/2011,07-07-2010,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,07-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,07-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210858,SMAN 5 MEDAN,MEDAN,,,,,,
2010/2011,07-07-2010,AKUNTANSI (S-1),1,0,0,1,0,10210903,SMA S METHODIST 2,MEDAN,,,,,,
2010/2011,07-08-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10201316,SMAN 1 BABALAN,LANGKAT,,,,,,
2010/2011,07-08-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10102285,SMAN 1 TAKENGON,ACEH TENGAH,,,,,,
2010/2011,07-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210705,SMA S DR.WAHIDIN S.HUSODO,MEDAN,,,,,,
2010/2011,07-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210747,SMA S HARAPAN MANDIRI,MEDAN,,,,,,
2010/2011,07-08-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210747,SMA S HARAPAN MANDIRI,MEDAN,,,,,,
2010/2011,07-08-2010,AKUNTANSI (S-1),1,1,0,0,0,10210836,SMA S SUTOMO 2,MEDAN,,,,,,
2010/2011,07-08-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10258047,SMA PRIMBANA,MEDAN,,,,,,
2010/2011,07-08-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10220611,SMAN 2 PANDAN,TAPANULI TENGAH,,,,,,
2010/2011,07-08-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210731,SMA S HARAPAN 1 MEDAN,MEDAN,,,,,,
2010/2011,07-08-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,07-08-2010,AKUNTANSI (S-1),1,0,0,1,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,07-08-2010,AKUNTANSI (S-1),1,0,1,0,0,10403902,SMK 1 PEKANBARU,PEKAN BARU,,,,,,
2010/2011,07-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10214145,SMA PAB 4 SAMPALI,DELI SERDANG,,,,,,
2010/2011,07-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10212098,SMA KATOLIK SBG,SIBOLGA,,,,,,
2010/2011,07-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210851,SMAN 17 MEDAN,MEDAN,,,,,,
2010/2011,07-09-2010,MANAJEMEN (S-1),1,0,0,1,0,10210856,SMAN 3 MEDAN,MEDAN,,,,,,
2010/2011,07-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10211074,SMKN 10 MEDAN,MEDAN,,,,,,
2010/2011,07-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210762,SMKN 2 MEDAN,MEDAN,,,,,,
2010/2011,07-09-2010,MANAJEMEN (S-1),1,0,0,0,1,10203605,MAN SIDIKALANG,DAIRI,,,,,,
2010/2011,07-09-2010,SISTEM INFORMASI (S-1),1,1,0,0,0,10204060,SMAN 1 PULAU RAKYAT,ASAHAN,,,,,,
2010/2011,07-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10205393,SMAN 1 KUALUH HULU,LABUHAN BATU,,,,,,
2010/2011,07-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,07-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210858,SMAN 5 MEDAN,MEDAN,,,,,,
2010/2011,08-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10202679,SMA METHODIST PERDAGANGAN,SIMALUNGUN,,,,,,
2010/2011,08-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10202679,SMA METHODIST PERDAGANGAN,SIMALUNGUN,,,,,,
2010/2011,08-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2010/2011,08-07-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210824,SMA S TELADAN MEDAN,MEDAN,,,,,,
2010/2011,08-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210859,SMAN 6 MEDAN,MEDAN,,,,,,
2010/2011,08-07-2010,AKUNTANSI (S-1),2,0,2,0,0,10211680,SMA KRISTEN KALAM KUDUS,PEMATANG SIANTAR,,,,,,
2010/2011,08-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10214028,SMKN 1 PERCUT SEI TUAN,DELI SERDANG,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10214138,SMAN 1 TANJUNG MORAWA,DELI SERDANG,,,,,,
2010/2011,08-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10219926,SMA SANTA LUSIA,DELI SERDANG,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10258023,SMA KATOLIK TRISAKTI,MEDAN,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10212098,SMA KATOLIK SBG,SIBOLGA,,,,,,
2010/2011,08-09-2010,MANAJEMEN (S-1),1,0,0,0,1,10210857,SMAN 4 MEDAN,MEDAN,,,,,,
2010/2011,08-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210906,SMA S METHODIST 8,MEDAN,,,,,,
2010/2011,08-09-2010,AKUNTANSI (S-1),1,0,0,1,0,10210829,SMA S WR SUPRATMAN 1,MEDAN,,,,,,
2010/2011,08-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210766,SMKN 9 MEDAN,MEDAN,,,,,,
2010/2011,08-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210714,SMA S HANG KESTURI,MEDAN,,,,,,
2010/2011,08-09-2010,SISTEM INFORMASI (S-1),1,1,0,0,0,10000015,SMK TELKOM SANDHY PUTRA MEDAN,MEDAN,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10105752,SMAN 4 LANGSA,LANGSA,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10201985,SMAN 1 KABANJAHE,KARO,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10202767,SMAN 1 BANDAR,SIMALUNGUN,,,,,,
2010/2011,08-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10202004,SMA METHODIST BERASTAGI,KARO,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10206128,SMAN 1 TARUTUNG,TAPANULI UTARA,,,,,,
2010/2011,08-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210876,SMAN 12 MEDAN,MEDAN,,,,,,
2010/2011,09-06-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10204080,SMK DIPONEGORO KISARAN,ASAHAN,,,,,,
2010/2011,09-07-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10205184,SMK (SMEA) SITI BANUN SIGAMBAL,LABUHAN BATU,,,,,,
2010/2011,09-07-2010,MANAJEMEN (S-1),1,0,0,0,1,10200540,MAS PAB 4,DELI SERDANG,,,,,,
2010/2011,09-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10108046,SMAN 4 KEJURUAN MUDA,ACEH TAMIANG,,,,,,
2010/2011,09-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10000004,SMA TUNAS BARU BABALAN,LANGKAT,,,,,,
2010/2011,09-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210750,SMA S HUSNI THAMRIN,MEDAN,,,,,,
2010/2011,09-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210763,SMKN 3 MEDAN,MEDAN,,,,,,
2010/2011,09-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210836,SMA S SUTOMO 2,MEDAN,,,,,,
2010/2011,09-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10212022,SMA SISINGAMANGARAJA,TANJUNG BALAI,,,,,,
2010/2011,09-07-2010,MANAJEMEN (S-1),1,0,0,1,0,10211291,SMA AHMAD YANI,BINJAI,,,,,,
2010/2011,09-07-2010,MANAJEMEN (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,09-07-2010,MANAJEMEN (S-1),1,0,0,1,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,09-07-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2010/2011,09-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2010/2011,09-07-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10807058,SMAN 12 BANDAR LAMPUNG,BANDAR LAMPUNG,,,,,,
2010/2011,09-08-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10212098,SMA KATOLIK SBG,SIBOLGA,,,,,,
